id,sentence,target
7226,"there are times when a rumor of angels plays like an extended episode of touched by an angel a little too much dancing , a few too many weeping scenes but i liked its heart and its spirit",+
7227,an estrogen opera so intensely feminine that it serves as the antidote ( and cannier doppelganger ) to diesel 's xxx flex a thon,+
7228,"the emotion is impressively true for being so hot blooded , and both leads are up to the task",+
7229,"nair does n't use monsoon wedding to lament the loss of culture instead , she sees it as a chance to revitalize what is and always has been remarkable about clung to traditions",+
7230,i can easily imagine benigni 's pinocchio becoming a christmas perennial coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings,-
7231,enticing and often funny documentary,+
7232,"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time",+
7233,as inept as big screen remakes of the avengers and the wild wild west,-
7234,opera on film is never satisfactory the art demands live viewing the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen,-
7235,imagine susan sontag falling in love with howard stern,-
7236,"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure",-
7237,a clever blend of fact and fiction,+
7238,` christian bale 's quinn is a leather clad grunge pirate with a hairdo like gandalf in a wind tunnel and a simply astounding cor blimey luv a duck cockney accent ',-
7239,a story which fails to rise above its disgusting source material,-
7240,"while some will object to the idea of a vietnam picture with such a rah rah , patriotic tone , soldiers ultimately achieves its main strategic objective dramatizing the human cost of the conflict that came to define a generation",+
7241,arguably the year 's silliest and most incoherent movie,-
7242,bubba ho tep is a wonderful film with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it,+
7243,"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? '",-
7244,"elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level",-
7245,a cumbersome and cliche ridden movie greased with every emotional device known to man,-
7246,` enigma ' is a good name for a movie this delibrately obtuse and unapproachable a waste of good performances,-
7247,"the mothman prophecies , which is mostly a bore , seems to exist only for its climactic setpiece",-
7248,"writer director 's mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres",+
7249,"although it includes a fair share of dumb drug jokes and predictable slapstick , orange county is far funnier than it would seem to have any right to be",+
7250,"brainless , but enjoyably over the top , the retro gang melodrama , deuces wild represents fifties teen gang machismo in a way that borders on rough trade homo eroticism",-
7251,it 's refreshing to see a movie that embraces its old fashioned themes and in the process comes out looking like something wholly original,+
7252,the two leads chomp considerably more scenery with their acting than fire breathing monsters barbecue with their breath,+
7253,i 'll bet the video game is a lot more fun than the film,-
7254,aggressive self glorification and a manipulative whitewash stay for the credits and see a devastating comic impersonation by dustin hoffman that is revelatory,-
7255,"although trying to balance self referential humor and a normal ol ' slasher plot seemed like a decent endeavor , the result does n't fully satisfy either the die hard jason fans or those who can take a good joke",-
7256,"` anyone with a passion for cinema , and indeed sex , should see it as soon as possible '",+
7257,this ill conceived and expensive project winds up looking like a bunch of talented thesps slumming it,-
